cell_id,lat,lon,ts
222-01-102-2954,45.5107877,9.3053876,1726469289
222-01-106,45.841973,8.711892,1726469289
222-01-106-11486,45.9155905,8.8231161,1726469290
222-01-106-17075,45.8548049,8.8358518,1726469290
222-01-109,45.517633,9.100324,1726469290
222-01-109-1539,45.5572952,9.0469608,1726469290
222-01-128006917,45.4862968,9.2183829,1726469290
222-01-128006918,45.4861253,9.2153265,1726469290
222-01-128023583,45.8408218,9.0631429,1726469290
222-01-128023586,45.8367458,9.0495314,1726469291
